SCCS_ID,language_family,G1_Associated,G2_Harm,G3_Help,G4_Punitive,SG1_Associated,SG2_Harm,SG3_Help,SG4_Punitive,MS1_Associated,MS2_Harm,MS3_Help,MS4_Punitive,Social_Complexity,ResourceStress,Stress
58,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,4,-1.957393684
59,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1,0.888385296
59,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,0.310158047
59,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,3,0.270644430
59,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,4,-1.213571865
60,Dravidian,1,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,27,1,-1.117646018
60,Dravidian,1,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,27,2,-1.400410576
60,Dravidian,1,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,27,3,-0.811933291
60,Dravidian,1,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,27,4,-0.213627236
61,Dravidian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,NA
61,Dravidian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,NA
61,Dravidian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3,NA
61,Dravidian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,0.539954324
62,Austroasiatic,1,1,1,0,NA,NA,NA,NA,1,NA,1,1,31,1,NA
62,Austroasiatic,1,1,1,0,NA,NA,NA,NA,1,NA,1,1,31,2,-0.545126265
62,Austroasiatic,1,1,1,0,NA,NA,NA,NA,1,NA,1,1,31,3,1.353222151
62,Austroasiatic,1,1,1,0,NA,NA,NA,NA,1,NA,1,1,31,4,-0.441295394
63,Indo-European,0,0,0,0,1,NA,1,NA,1,NA,1,NA,50,1,NA
63,Indo-European,0,0,0,0,1,NA,1,NA,1,NA,1,NA,50,2,-0.545126265
63,Indo-European,0,0,0,0,1,NA,1,NA,1,NA,1,NA,50,3,NA
63,Indo-European,0,0,0,0,1,NA,1,NA,1,NA,1,NA,50,4,-0.804549287
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2,-1.400410576
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,3,0.270644430
